Date,Name,Year,Letterboxd URI,Rating
2026-01-04,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2026-01-09,Avatar: Fire and Ash,2025,https://boxd.it/2W7s,3.5
2026-01-12,The Man Who Copied,2003,https://boxd.it/10Rg,5
2026-01-24,One Battle After Another,2025,https://boxd.it/DUHM,4
2026-01-24,Sentimental Value,2025,https://boxd.it/GwcG,4
2026-01-24,Marty Supreme,2025,https://boxd.it/Off0,4.5
2026-01-25,F1,2025,https://boxd.it/yjVM,3.5
2026-01-26,"Basic Sanitation, the Movie",2007,https://boxd.it/1oC,5
2026-01-27,Frankenstein,2025,https://boxd.it/Ecsg,3.5
2026-01-27,The Substance,2024,https://boxd.it/zanS,4.5
2026-01-29,Hamnet,2025,https://boxd.it/woVy,5
2026-01-30,The Secret Agent,2025,https://boxd.it/KkUE,4.5
